Date,Open,High,Low,Close,Volume,Adj Close,MA30,MA60,MA120,MA240
2003-09-01,14999.99,15900.02,14850.02,15799.99,1347000,19501.66,17055.738999999976,17063.962000000018,15615.017083333318,15772.182833333321
2003-09-02,16100.01,16299.99,15699.96,16249.97,1684200,20057.06,17181.22333333331,17116.418666666686,15673.130999999987,15800.725374999987
2003-09-03,16450.03,16499.97,15600.01,15850.01,1308500,19563.4,17286.136999999977,17164.76150000002,15719.41691666665,15824.125541666655
2003-09-04,15900.02,15950.04,15350.02,15499.98,835600,19131.36,17372.536999999975,17200.76100000002,15759.016666666654,15845.725541666654
2003-09-05,15400.03,15600.01,14650.04,15150.03,585200,18699.43,17448.651666666647,17230.59050000002,15793.473666666652,15861.668333333322
2003-09-08,15100.02,15300.0,14900.04,15150.03,306200,18699.43,17502.137333333314,17263.50500000002,15829.988416666652,15878.896833333323
2003-09-09,14850.02,14900.04,14250.0,14499.99,1628300,17897.1,17532.994333333314,17277.904500000022,15871.645166666653,15896.89662499999
2003-09-10,14499.99,14499.99,14499.99,14499.99,0,17897.1,17574.136666666647,17278.93350000002,15910.73058333332,15916.439333333323
2003-09-11,14499.99,14499.99,14499.99,14499.99,0,17897.1,17625.564666666647,17272.761833333356,15953.930666666653,15935.982041666657
2003-09-12,14499.99,14499.99,14499.99,14499.99,0,17897.1,17664.64933333331,17272.761833333356,15997.645249999985,15956.553208333324
2003-09-15,14699.97,14900.04,14399.96,14749.99,806200,18205.66,17734.59066666664,17292.304000000022,16051.64533333332,15975.067374999991
2003-09-16,14850.02,15249.98,14650.04,15249.98,675900,18822.8,17837.446666666645,17325.21850000002,16108.627749999987,15994.096041666658
2003-09-17,15550.0,15600.01,14949.97,15150.03,920500,18699.43,17930.01999999998,17349.905166666686,16163.862166666653,16012.867458333325
2003-09-18,15400.03,15600.01,14999.99,15100.02,587300,18637.7,18010.25033333331,17382.819666666688,16218.684916666652,16024.953208333325
2003-09-19,15199.97,15300.0,14550.01,14550.01,526800,17958.83,18078.136999999977,17397.219166666688,16260.85608333332,16032.153374999993
2003-09-22,14250.0,14900.04,13699.99,13949.98,1032200,17218.23,18127.50733333331,17402.36200000002,16285.027499999987,16038.581874999993
2003-09-23,14399.96,14999.99,14250.0,14999.99,1022800,18514.23,18201.563999999973,17419.84816666669,16321.026999999985,16052.981749999994
2003-09-24,15300.0,15449.97,14650.04,14850.02,709200,18329.13,18255.04966666664,17437.334333333354,16357.541749999984,16057.353291666659
2003-09-25,14250.0,14300.01,13750.0,14050.01,908700,17341.69,18277.678333333304,17443.50600000002,16388.91291666665,16058.381749999993
2003-09-26,13750.0,14050.01,13399.97,13699.99,588200,16909.66,18285.905999999974,17439.392166666687,16412.05541666665,16057.610083333328
2003-09-29,13500.0,13699.99,13050.02,13099.96,425300,16169.06,18265.331666666643,17412.649333333353,16427.998249999986,16050.924374999995
2003-09-30,13500.0,13949.98,13399.97,13550.02,657000,16724.56,18244.760666666647,17395.164833333354,16443.94108333332,16045.781583333328
2003-10-01,13050.02,14000.0,13050.02,14000.0,389200,17279.96,18232.41733333331,17395.164833333354,16463.48416666665,16046.29604166666
2003-10-02,14149.96,14199.98,13899.97,14199.98,484700,17526.79,18220.073666666645,17400.30750000002,16488.683583333317,16046.29604166666
2003-10-03,14199.98,14199.98,14199.98,14199.98,0,17526.79,18185.101333333314,17405.45016666669,16515.42633333332,16049.124624999993
2003-10-06,14350.03,14399.96,13800.02,13800.02,542900,17033.13,18123.38799999998,17397.22250000002,16540.112249999984,16048.610624999992
2003-10-07,13899.97,14100.03,13699.99,14000.0,398100,17279.96,18076.07233333331,17403.394166666687,16570.968999999986,16048.867833333325
2003-10-08,14100.03,14300.01,13899.97,14300.01,766900,17650.26,18039.045666666643,17423.96533333335,16606.96933333332,16047.324916666657
2003-10-09,14199.98,14749.99,14199.98,14650.04,647000,18082.29,18049.33433333331,17451.73700000002,16648.62683333332,16049.125041666657
2003-10-10,14650.04,15050.0,14650.04,14999.99,862900,18514.23,18055.50433333331,17491.85050000002,16700.363666666653,16053.239374999992
2003-10-13,14999.99,15699.96,14800.01,15699.96,1251200,19378.2,18051.388999999974,17553.56400000002,16754.36291666665,16064.038999999992
2003-10-14,15699.96,16049.99,15400.03,15550.0,689600,19193.1,18022.590333333304,17601.906833333356,16799.105499999987,16077.667624999993
2003-10-15,15699.96,15699.96,14949.97,15050.0,589800,18575.96,17989.675666666637,17637.906333333354,16835.10583333332,16088.724833333325
2003-10-16,14999.99,15600.01,14650.04,15449.97,900800,19069.63,17987.61799999997,17680.077500000018,16875.22008333332,16100.296083333325
2003-10-17,15449.97,15650.03,14900.04,14949.97,362800,18452.5,17979.38699999997,17714.019333333352,16912.762916666652,16106.467374999991
2003-10-20,14749.99,15499.98,14749.99,15499.98,321200,19131.36,17993.784666666634,17747.961000000018,16955.962916666653,16113.667083333325
2003-10-21,15650.03,15749.98,15150.03,15400.03,431300,19008.0,18030.814666666633,17781.90450000002,16994.020249999983,16120.352791666657
2003-10-22,15300.0,15350.02,14749.99,14900.04,595700,18390.86,18047.2733333333,17810.70500000002,17026.420249999985,16124.724333333323
2003-10-23,14699.97,14699.97,14300.01,14399.96,514800,17773.63,18043.157666666633,17834.361166666684,17053.676666666648,16126.781291666655
2003-10-24,14199.98,14499.99,14149.96,14350.03,252600,17711.99,18036.9873333333,17850.81833333335,17082.990833333315,16127.038499999991
2003-10-27,14350.03,14499.99,14149.96,14499.99,588700,17897.1,18026.70199999997,17880.646333333352,17107.67674999998,16127.038499999991
2003-10-28,14350.03,15100.02,14350.03,14999.99,909600,18514.23,18016.416333333298,17926.931500000017,17142.648166666648,16127.809749999991
2003-10-29,15350.02,15550.0,15100.02,15199.97,1004700,18761.06,18018.47066666663,17974.24533333335,17182.24791666665,16129.095416666658
2003-10-30,15350.02,15499.98,15199.97,15300.0,337700,18884.53,18026.6983333333,18018.474333333354,17221.33324999998,16129.095416666658
2003-10-31,15600.01,16049.99,15550.0,15799.99,1058800,19501.66,18078.12599999997,18078.131500000018,17269.161583333316,16130.123874999992
2003-11-03,16049.99,16299.99,15499.98,16299.99,874400,20118.8,18174.81166666664,18151.159500000016,17323.16166666665,16133.723749999992
2003-11-04,16450.03,18200.01,16400.02,17599.99,2719800,21723.37,18281.782999999974,18241.67350000002,17384.87591666665,16144.52379166666
2003-11-05,17900.0,18450.01,17700.02,18099.98,1386600,22340.5,18415.495333333307,18335.272500000017,17454.81874999998,16161.49504166666
2003-11-06,18049.97,18700.01,17599.99,17599.99,1251200,21723.37,18561.551333333307,18419.61483333335,17522.703916666644,16176.15216666666
2003-11-07,17799.97,18150.0,17099.99,18049.97,671500,22278.77,18740.521666666642,18513.21383333335,17593.160416666644,16194.151916666659
